Date:Mean infrastructure per profile:Median infrastructure per profile:Top infrastructure per profile:Second infrastructure per profile:Third infrastructure per profile:Forth infrastructure per profile:Fifth infrastructure per profile
2015-03-02:3,4727272727272727:2,0:25:21:14:13:12
2015-03-02:3,4727272727272727:2,0:25:21:14:13:12
2015-03-03:3,4727272727272727:2,0:25:21:14:13:12
2015-03-05:3,4727272727272727:2,0:25:21:14:13:12
2015-03-05:3,4727272727272727:2,0:25:21:14:13:12
2015-03-07:3,4727272727272727:2,0:25:21:14:13:12
2015-03-11:3,4727272727272727:2,0:25:21:14:13:12
2015-03-14:3,4727272727272727:2,0:25:21:14:13:12
2015-03-15:3,481481481481482:2,0:25:21:14:13:12
2015-03-15:3,481481481481482:2,0:25:21:14:13:12
2015-03-16:3,481481481481482:2,0:25:21:14:13:12
2015-03-16:3,481481481481482:2,0:25:21:14:13:12
2015-03-16:3,5740740740740744:2,0:25:21:14:13:12
2015-03-16:3,5094339622641515:2,0:25:21:14:13:12
2015-03-18:3,5740740740740744:2,0:25:21:14:13:12
2015-03-19:3,5740740740740744:2,0:25:21:14:13:12
2015-03-20:3,5740740740740744:2,0:25:21:14:13:12
2015-03-20:3,5740740740740744:2,0:25:21:14:13:12
2015-03-20:3,5740740740740744:2,0:25:21:14:13:12
2015-03-23:3,5740740740740744:2,0:25:21:14:13:12
2015-03-24:3,5740740740740744:2,0:25:21:14:13:12
2015-03-24:3,5740740740740744:2,0:25:21:14:13:12
2015-03-25:3,5740740740740744:2,0:25:21:14:13:12
2015-03-25:3,5740740740740744:2,0:25:21:14:13:12
2015-03-25:3,5740740740740744:2,0:25:21:14:13:12
2015-03-25:3,5740740740740744:2,0:25:21:14:13:12
2015-03-26:3,5740740740740744:2,0:25:21:14:13:12
2015-03-26:3,5740740740740744:2,0:25:21:14:13:12
2015-03-26:3,4727272727272727:2,0:25:21:14:13:12
2015-04-01:3,5740740740740744:2,0:25:21:14:13:12
2015-04-10:3,622641509433963:2,0:25:21:14:13:12
2015-04-13:3,622641509433963:2,0:25:21:14:13:12
2015-04-14:3,622641509433963:2,0:25:21:14:13:12
2015-04-14:3,622641509433963:2,0:25:21:14:13:12
