Date:Scalable:Vertical:Horizontal:Auto
2014-08-19:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-19:89,6103896103896:59,74025974025974:76,62337662337663:37,66233766233766
2014-08-19:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-20:89,6103896103896:59,74025974025974:76,62337662337663:38,961038961038966
2014-08-20:89,6103896103896:59,74025974025974:76,62337662337663:37,66233766233766
2014-09-01:89,6103896103896:59,74025974025974:76,62337662337663:37,66233766233766
2014-09-02:89,6103896103896:59,74025974025974:76,62337662337663:37,66233766233766
2014-09-03:89,6103896103896:59,74025974025974:76,62337662337663:37,66233766233766
2014-09-03:89,6103896103896:59,74025974025974:76,62337662337663:37,66233766233766
2014-09-03:89,6103896103896:59,74025974025974:76,62337662337663:37,66233766233766
2014-09-15:89,6103896103896:59,74025974025974:76,62337662337663:37,66233766233766
2014-09-18:89,74358974358975:58,97435897435898:76,92307692307693:37,17948717948718
2014-09-18:89,74358974358975:58,97435897435898:76,92307692307693:37,17948717948718
2014-09-19:89,74358974358975:58,97435897435898:76,92307692307693:37,17948717948718
2014-09-19:89,74358974358975:58,97435897435898:76,92307692307693:37,17948717948718
2014-09-19:89,74358974358975:58,97435897435898:76,92307692307693:37,17948717948718
2014-09-22:89,74358974358975:58,97435897435898:76,92307692307693:37,17948717948718
2014-09-23:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-09-24:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-09-25:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-09-29:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-02:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-06:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-06:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-06:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-07:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-08:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-09:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-17:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-20:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-10-24:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-11-01:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-11-08:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-11-08:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-11-10:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-11-10:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-11-12:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
2014-11-12:89,6103896103896:59,74025974025974:76,62337662337663:36,36363636363637
2014-11-12:89,6103896103896:58,44155844155844:76,62337662337663:36,36363636363637
