Date:Mean:Median:Youngest:Oldest
2014-07-15:193,35064935064935:148,0:1:375
2014-07-16:191,85897435897436:149,0:0:376
2014-07-16:191,85897435897436:149,0:0:376
2014-07-16:191,85897435897436:149,0:0:376
2014-07-17:188,0897435897436:150,0:1:377
2014-07-17:188,0897435897436:150,0:1:377
2014-07-18:179,39743589743588:129,0:0:378
2014-07-18:179,39743589743588:129,0:0:378
2014-07-20:181,39743589743588:131,0:2:380
2014-07-21:181,78205128205127:132,0:0:381
2014-07-21:181,78205128205127:132,0:0:381
2014-07-21:181,78205128205127:132,0:0:381
2014-07-21:181,78205128205127:132,0:0:381
2014-07-24:182,67948717948718:135,0:0:384
2014-07-24:182,67948717948718:135,0:0:384
2014-07-24:182,67948717948718:135,0:0:384
2014-07-24:184,78205128205127:135,0:3:384
2014-07-24:182,67948717948718:135,0:0:384
2014-07-24:182,67948717948718:135,0:0:384
2014-07-25:183,67948717948718:136,0:1:385
2014-07-29:187,67948717948718:140,0:5:389
2014-07-29:187,67948717948718:140,0:5:389
2014-07-29:187,67948717948718:140,0:5:389
2014-07-29:187,67948717948718:140,0:5:389
2014-07-30:188,67948717948718:141,0:6:390
2014-07-30:188,67948717948718:141,0:6:390
2014-07-30:188,67948717948718:141,0:6:390
2014-07-30:188,67948717948718:141,0:6:390
2014-07-31:189,67948717948718:142,0:7:391
2014-07-31:189,67948717948718:142,0:7:391
2014-08-04:193,67948717948718:146,0:11:395
2014-08-04:193,67948717948718:146,0:11:395
2014-08-04:193,67948717948718:146,0:11:395
2014-08-05:194,67948717948718:147,0:12:396
2014-08-05:194,67948717948718:147,0:12:396
2014-08-05:194,67948717948718:147,0:12:396
2014-08-05:194,67948717948718:147,0:12:396
2014-08-05:194,67948717948718:147,0:12:396
2014-08-06:195,67948717948718:148,0:13:397
2014-08-06:195,67948717948718:148,0:13:397
2014-08-08:195,34615384615387:149,0:0:399
2014-08-08:195,34615384615387:149,0:0:399
2014-08-12:199,34615384615387:153,0:4:403
2014-08-12:199,34615384615387:153,0:4:403
2014-08-13:200,34615384615387:154,0:5:404
2014-08-13:200,34615384615387:154,0:5:404
2014-08-13:200,34615384615387:154,0:5:404
2014-08-13:200,34615384615387:154,0:5:404
2014-08-14:200,28205128205127:155,0:0:405
2014-08-14:201,34615384615387:155,0:6:405
2014-08-14:200,28205128205127:155,0:0:405
2014-08-15:200,96153846153845:156,0:0:406
2014-08-15:200,96153846153845:156,0:0:406
2014-08-18:203,96153846153845:159,0:3:409
2014-08-18:203,96153846153845:159,0:3:409
2014-08-18:203,96153846153845:159,0:3:409
2014-08-19:202,2987012987013:159,0:4:410
2014-08-19:204,96153846153845:160,0:4:410
2014-08-19:202,2987012987013:159,0:4:410
2014-08-19:204,96153846153845:160,0:4:410
2014-08-20:203,2987012987013:160,0:5:411
2014-08-20:203,2987012987013:160,0:5:411
2014-09-01:213,33766233766235:172,0:0:423
2014-09-02:211,0:162,0:0:424
2014-09-03:206,80519480519482:160,0:1:425
2014-09-03:206,80519480519482:160,0:1:425
2014-09-03:206,80519480519482:160,0:1:425
2014-09-15:218,80519480519482:172,0:13:437
2014-09-18:218,96153846153845:175,0:0:440
2014-09-18:218,96153846153845:175,0:0:440
2014-09-19:219,96153846153845:176,0:1:441
2014-09-19:218,14102564102564:176,0:0:441
2014-09-19:218,14102564102564:176,0:0:441
2014-09-22:218,2692307692308:168,0:3:444
2014-09-23:216,42857142857142:158,0:4:445
2014-09-24:215,70129870129873:159,0:0:446
2014-09-25:216,7012987012987:160,0:1:447
2014-09-29:219,25974025974025:164,0:0:451
2014-10-02:222,0909090909091:167,0:0:454
2014-10-06:226,0909090909091:171,0:4:458
2014-10-06:223,37662337662337:150,0:0:458
2014-10-06:223,37662337662337:150,0:0:458
2014-10-07:224,37662337662337:151,0:1:459
2014-10-08:225,37662337662337:152,0:2:460
2014-10-09:225,8961038961039:153,0:0:461
2014-10-17:232,46753246753246:161,0:0:469
2014-10-20:234,1038961038961:164,0:0:472
2014-10-24:238,1038961038961:168,0:4:476
2014-11-01:245,74025974025975:176,0:2:484
2014-11-08:252,74025974025975:183,0:9:491
