Date:Profiles with Native Services in percent:Profiles w/o Native Services in percent
2014-08-14:61,53846153846154:38,46153846153846
2014-08-14:61,53846153846154:38,46153846153846
2014-08-15:61,53846153846154:38,46153846153846
2014-08-15:61,53846153846154:38,46153846153846
2014-08-18:61,53846153846154:38,46153846153846
2014-08-18:61,53846153846154:38,46153846153846
2014-08-18:61,53846153846154:38,46153846153846
2014-08-19:62,33766233766234:37,66233766233766
2014-08-19:61,53846153846154:38,46153846153846
2014-08-19:62,33766233766234:37,66233766233766
2014-08-19:61,53846153846154:38,46153846153846
2014-08-20:62,33766233766234:37,66233766233766
2014-08-20:62,33766233766234:37,66233766233766
2014-09-01:62,33766233766234:37,66233766233766
2014-09-02:62,33766233766234:37,66233766233766
2014-09-03:62,33766233766234:37,66233766233766
2014-09-03:62,33766233766234:37,66233766233766
2014-09-03:62,33766233766234:37,66233766233766
2014-09-15:62,33766233766234:37,66233766233766
2014-09-18:62,82051282051282:37,17948717948718
2014-09-18:62,82051282051282:37,17948717948718
2014-09-19:62,82051282051282:37,17948717948718
2014-09-19:62,82051282051282:37,17948717948718
2014-09-19:62,82051282051282:37,17948717948718
2014-09-22:62,82051282051282:37,17948717948718
2014-09-23:62,33766233766234:37,66233766233766
2014-09-24:62,33766233766234:37,66233766233766
2014-09-25:62,33766233766234:37,66233766233766
2014-09-29:62,33766233766234:37,66233766233766
2014-10-02:62,33766233766234:37,66233766233766
2014-10-06:62,33766233766234:37,66233766233766
2014-10-06:62,33766233766234:37,66233766233766
2014-10-06:62,33766233766234:37,66233766233766
2014-10-07:62,33766233766234:37,66233766233766
2014-10-08:62,33766233766234:37,66233766233766
2014-10-09:62,33766233766234:37,66233766233766
2014-10-17:62,33766233766234:37,66233766233766
2014-10-20:62,33766233766234:37,66233766233766
2014-10-24:62,33766233766234:37,66233766233766
2014-11-01:62,33766233766234:37,66233766233766
2014-11-08:62,33766233766234:37,66233766233766
2014-11-08:62,33766233766234:37,66233766233766
2014-11-10:62,33766233766234:37,66233766233766
2014-11-10:62,33766233766234:37,66233766233766
2014-11-12:62,33766233766234:37,66233766233766
2014-11-12:63,63636363636363:36,36363636363637
2014-11-12:62,33766233766234:37,66233766233766
2014-11-12:62,33766233766234:37,66233766233766
2014-11-12:63,63636363636363:36,36363636363637
2014-11-13:63,63636363636363:36,36363636363637
2014-11-13:63,63636363636363:36,36363636363637
2014-11-13:63,63636363636363:36,36363636363637
2014-11-13:63,63636363636363:36,36363636363637
2014-11-14:63,63636363636363:36,36363636363637
2014-11-17:63,63636363636363:36,36363636363637
2014-11-24:63,63636363636363:36,36363636363637
2014-11-26:63,63636363636363:36,36363636363637
2014-12-01:63,63636363636363:36,36363636363637
2014-12-02:63,63636363636363:36,36363636363637
2014-12-02:63,63636363636363:36,36363636363637
2014-12-06:63,63636363636363:36,36363636363637
2014-12-08:63,63636363636363:36,36363636363637
2014-12-08:63,63636363636363:36,36363636363637
2014-12-08:63,63636363636363:36,36363636363637
2014-12-16:64,1025641025641:35,8974358974359
2014-12-16:64,1025641025641:35,8974358974359
2014-12-16:64,1025641025641:35,8974358974359
2014-12-16:64,1025641025641:35,8974358974359
2014-12-17:64,1025641025641:35,8974358974359
2014-12-18:64,1025641025641:35,8974358974359
2014-12-18:64,1025641025641:35,8974358974359
2014-12-21:64,1025641025641:35,8974358974359
2014-12-22:64,1025641025641:35,8974358974359
2014-12-23:64,1025641025641:35,8974358974359
2014-12-23:64,1025641025641:35,8974358974359
2015-01-07:64,1025641025641:35,8974358974359
2015-01-07:64,1025641025641:35,8974358974359
2015-01-07:64,1025641025641:35,8974358974359
2015-01-08:64,1025641025641:35,8974358974359
2015-01-21:64,1025641025641:35,8974358974359
2015-01-21:64,1025641025641:35,8974358974359
2015-01-21:64,1025641025641:35,8974358974359
2015-01-26:64,93506493506493:35,06493506493507
2015-02-03:64,93506493506493:35,06493506493507
2015-02-03:64,93506493506493:35,06493506493507
2015-02-05:64,47368421052632:35,526315789473685
2015-02-05:64,47368421052632:35,526315789473685
2015-02-11:64,47368421052632:35,526315789473685
2015-02-16:64,0:36,0
2015-02-17:64,47368421052632:35,526315789473685
2015-02-17:64,47368421052632:35,526315789473685
2015-02-23:64,47368421052632:35,526315789473685
2015-02-23:64,0:36,0
2015-02-23:64,47368421052632:35,526315789473685
2015-02-27:64,47368421052632:35,526315789473685
2015-02-28:64,47368421052632:35,526315789473685
2015-03-02:64,47368421052632:35,526315789473685
2015-03-02:64,47368421052632:35,526315789473685
2015-03-02:64,47368421052632:35,526315789473685
2015-03-03:64,47368421052632:35,526315789473685
2015-03-05:64,47368421052632:35,526315789473685
2015-03-05:64,47368421052632:35,526315789473685
2015-03-07:64,0:36,0
2015-03-11:65,78947368421053:34,210526315789465
2015-03-14:64,0:36,0
2015-03-15:64,38356164383562:35,61643835616438
2015-03-15:64,86486486486487:35,13513513513513
